dataset,feature_nature,feature_category,feature_names,window_size,clf_name,clf_params,accuracy,f1,precision,recall
fbk,2nd-order,individual,"Index(['individual_sleep', 'individual_stress_tolerance',
       'individual_sleep_avg_3', 'individual_sleep_std_3',
       'individual_sleep_max_3', 'individual_sleep_min_3',
       'individual_sleep_delta_3', 'individual_stress_avg_3',
       'individual_stress_std_3', 'individual_stress_max_3',
       'individual_stress_delta_3', 'individual_prev_stress'],
      dtype='object')",3,xGB,"{'n_estimators': 140, 'max_depth': 6, 'learning_rate': 0.05}",0.7601117359775047,0.754448114285455,0.7566689445487091,0.7601117359775047
fbk,2nd-order,individual,"Index(['individual_sleep', 'individual_stress_tolerance',
       'individual_sleep_avg_4', 'individual_sleep_std_4',
       'individual_sleep_max_4', 'individual_sleep_min_4',
       'individual_sleep_delta_4', 'individual_sleep_var_4',
       'individual_stress_avg_4', 'individual_stress_std_4',
       'individual_stress_max_4', 'individual_stress_min_4',
       'individual_stress_delta_4', 'individual_stress_var_4',
       'individual_prev_stress'],
      dtype='object')",4,RF,"{'n_estimators': 180, 'max_depth': 9, 'criterion': 'gini'}",0.7533039647577093,0.749352510733363,0.7488199773613421,0.7533039647577093
fbk,2nd-order,individual,"Index(['individual_sleep', 'individual_stress_tolerance',
       'individual_sleep_avg_4', 'individual_sleep_std_4',
       'individual_sleep_max_4', 'individual_sleep_min_4',
       'individual_sleep_delta_4', 'individual_stress_avg_4',
       'individual_stress_std_4', 'individual_stress_min_4',
       'individual_stress_delta_4', 'individual_prev_stress'],
      dtype='object')",4,xGB,"{'n_estimators': 140, 'max_depth': 9, 'learning_rate': 0.01}",0.7136563876651982,0.709382366116002,0.7096241661799929,0.7136563876651982
fbk,2nd-order,individual,"Index(['individual_sleep', 'individual_stress_tolerance',
       'individual_sleep_avg_5', 'individual_sleep_std_5',
       'individual_sleep_max_5', 'individual_sleep_min_5',
       'individual_sleep_delta_5', 'individual_sleep_var_5',
       'individual_stress_avg_5', 'individual_stress_std_5',
       'individual_stress_max_5', 'individual_stress_min_5',
       'individual_stress_delta_5', 'individual_stress_var_5',
       'individual_prev_stress'],
      dtype='object')",5,RF,"{'n_estimators': 180, 'max_depth': 9, 'criterion': 'gini'}",0.7506581653640476,0.7479715972079136,0.7478731360856954,0.7506581653640476
fbk,2nd-order,individual,"Index(['individual_sleep', 'individual_stress_tolerance',
       'individual_sleep_max_5', 'individual_sleep_delta_5',
       'individual_stress_avg_5', 'individual_stress_max_5',
       'individual_stress_min_5', 'individual_stress_delta_5',
       'individual_prev_stress'],
      dtype='object')",5,xGB,"{'n_estimators': 140, 'max_depth': 9, 'learning_rate': 0.01}",0.7307157548334018,0.7291002390281887,0.7354984481985719,0.7307157548334018
fbk,2nd-order,organizational,"Index(['organizational_workload', 'organizational_control',
       'organizational_socialinteraction', 'organizational_workload_avg_2',
       'organizational_workload_max_2', 'organizational_workload_min_2',
       'organizational_workload_delta_2', 'organizational_control_avg_2',
       'organizational_control_max_2', 'organizational_control_min_2',
       'organizational_control_delta_2',
       'organizational_socialinteraction_avg_2',
       'organizational_socialinteraction_min_2'],
      dtype='object')",2,RF,"{'n_estimators': 180, 'max_depth': 9, 'criterion': 'gini'}",0.7191304347826086,0.7195418639267795,0.7232988785410525,0.7191304347826086
fbk,2nd-order,organizational,"Index(['organizational_workload', 'organizational_control',
       'organizational_socialinteraction', 'organizational_workload_avg_2',
       'organizational_workload_std_2', 'organizational_workload_max_2',
       'organizational_workload_min_2', 'organizational_workload_delta_2',
       'organizational_control_avg_2', 'organizational_control_std_2',
       'organizational_control_max_2', 'organizational_control_min_2',
       'organizational_control_delta_2',
       'organizational_socialinteraction_avg_2'],
      dtype='object')",2,xGB,"{'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.05}",0.7043478260869566,0.7039372884259665,0.7076187257257043,0.7043478260869566
fbk,2nd-order,organizational,"Index(['organizational_workload', 'organizational_control',
       'organizational_socialinteraction', 'organizational_workload_avg_3',
       'organizational_workload_std_3', 'organizational_workload_max_3',
       'organizational_workload_min_3', 'organizational_workload_delta_3',
       'organizational_workload_var_3', 'organizational_control_avg_3',
       'organizational_control_std_3', 'organizational_control_max_3',
       'organizational_control_min_3', 'organizational_control_delta_3',
       'organizational_control_var_3',
       'organizational_socialinteraction_avg_3',
       'organizational_socialinteraction_std_3',
       'organizational_socialinteraction_max_3',
       'organizational_socialinteraction_min_3',
       'organizational_socialinteraction_delta_3'],
      dtype='object')",3,RF,"{'n_estimators': 180, 'max_depth': 9, 'criterion': 'gini'}",0.7291421806958949,0.7244587260339206,0.7269619788868227,0.7291421806958949
fbk,2nd-order,organizational,"Index(['organizational_workload', 'organizational_control',
       'organizational_workload_avg_3', 'organizational_workload_std_3',
       'organizational_workload_max_3', 'organizational_workload_min_3',
       'organizational_control_avg_3', 'organizational_control_std_3',
       'organizational_control_max_3', 'organizational_control_min_3',
       'organizational_control_delta_3',
       'organizational_socialinteraction_avg_3',
       'organizational_socialinteraction_max_3',
       'organizational_socialinteraction_min_3'],
      dtype='object')",3,xGB,"{'n_estimators': 140, 'max_depth': 6, 'learning_rate': 0.05}",0.705293197480235,0.7022824581216788,0.7031726625243956,0.705293197480235
fbk,2nd-order,organizational,"Index(['organizational_workload', 'organizational_control',
       'organizational_socialinteraction', 'organizational_workload_avg_4',
       'organizational_workload_std_4', 'organizational_workload_max_4',
       'organizational_workload_min_4', 'organizational_workload_delta_4',
       'organizational_workload_var_4', 'organizational_control_avg_4',
       'organizational_control_std_4', 'organizational_control_max_4',
       'organizational_control_min_4', 'organizational_control_delta_4',
       'organizational_control_var_4',
       'organizational_socialinteraction_avg_4',
       'organizational_socialinteraction_std_4',
       'organizational_socialinteraction_min_4',
       'organizational_socialinteraction_delta_4'],
      dtype='object')",4,RF,"{'n_estimators': 180, 'max_depth': 9, 'criterion': 'gini'}",0.7100829274713703,0.7060167124465032,0.7111219187703075,0.7100829274713703
fbk,2nd-order,organizational,"Index(['organizational_workload', 'organizational_control',
       'organizational_socialinteraction', 'organizational_workload_avg_4',
       'organizational_workload_std_4', 'organizational_workload_max_4',
       'organizational_workload_min_4', 'organizational_workload_delta_4',
       'organizational_control_avg_4', 'organizational_control_std_4',
       'organizational_control_max_4', 'organizational_control_min_4',
       'organizational_control_delta_4',
       'organizational_socialinteraction_avg_4',
       'organizational_socialinteraction_std_4',
       'organizational_socialinteraction_min_4'],
      dtype='object')",4,xGB,"{'n_estimators': 140, 'max_depth': 6, 'learning_rate': 0.05}",0.7110087315168268,0.7089260061681807,0.7093379631490133,0.7110087315168268
fbk,2nd-order,organizational,"Index(['organizational_workload', 'organizational_control',
       'organizational_socialinteraction', 'organizational_workload_avg_5',
       'organizational_workload_std_5', 'organizational_workload_max_5',
       'organizational_workload_min_5', 'organizational_workload_delta_5',
       'organizational_workload_var_5', 'organizational_control_avg_5',
       'organizational_control_std_5', 'organizational_control_max_5',
       'organizational_control_min_5', 'organizational_control_delta_5',
       'organizational_control_var_5',
       'organizational_socialinteraction_avg_5',
       'organizational_socialinteraction_std_5',
       'organizational_socialinteraction_max_5',
       'organizational_socialinteraction_min_5',
       'organizational_socialinteraction_delta_5'],
      dtype='object')",5,RF,"{'n_estimators': 180, 'max_depth': 9, 'criterion': 'gini'}",0.711214953271028,0.7020122435506977,0.7116040576521375,0.711214953271028
